"Code","Name","Date","adult_beds_open","adult_beds_available","adult_beds_occupied","Occupied_rate","Emergency_catchment_pop_2017","cc_beds_per_100000"
"-","England",2019-12-02,3730,578,3152,0.845040214477212,NA,NA
"-","England",2019-12-03,3672,585,3087,0.840686274509804,NA,NA
"-","England",2019-12-04,3678,556,3122,0.848830886351278,NA,NA
"-","England",2019-12-05,3682,595,3087,0.838403041825095,NA,NA
"-","England",2019-12-06,3654,649,3005,0.822386425834702,NA,NA
"-","England",2019-12-07,3628,691,2937,0.809536934950386,NA,NA
"-","England",2019-12-08,3635,690,2945,0.810178817056396,NA,NA
"-","England",2019-12-09,3678,606,3072,0.835236541598695,NA,NA
"-","England",2019-12-10,3686,552,3134,0.850244167118828,NA,NA
"-","England",2019-12-11,3693,532,3161,0.855943677227187,NA,NA
"-","England",2019-12-12,3692,592,3100,0.839653304442037,NA,NA
"-","England",2019-12-13,3678,545,3133,0.851821642196846,NA,NA
"-","England",2019-12-14,3638,672,2966,0.815283122594832,NA,NA
"-","England",2019-12-15,3648,670,2978,0.816337719298246,NA,NA
"-","England",2019-12-16,3694,569,3125,0.845966432051976,NA,NA
"-","England",2019-12-17,3712,509,3203,0.862877155172414,NA,NA
"-","England",2019-12-18,3694,506,3188,0.863021115322144,NA,NA
"-","England",2019-12-19,3674,495,3179,0.865269461077844,NA,NA
"-","England",2019-12-20,3651,609,3042,0.833196384552177,NA,NA
"-","England",2019-12-21,3624,667,2957,0.815949227373068,NA,NA
"-","England",2019-12-22,3631,722,2909,0.801156706141559,NA,NA
"-","England",2019-12-23,3660,705,2955,0.807377049180328,NA,NA
"-","England",2019-12-24,3638,799,2839,0.780373831775701,NA,NA
"-","England",2019-12-25,3657,877,2780,0.760185944763467,NA,NA
"-","England",2019-12-26,3670,832,2838,0.773297002724796,NA,NA
"-","England",2019-12-27,3660,753,2907,0.794262295081967,NA,NA
"-","England",2019-12-28,3629,730,2899,0.798842656379168,NA,NA
"-","England",2019-12-29,3644,770,2874,0.788693743139407,NA,NA
"-","England",2019-12-30,3688,697,2991,0.811008676789588,NA,NA
"-","England",2019-12-31,3667,642,3025,0.824925006817562,NA,NA
"-","England",2020-01-01,3668,704,2964,0.808069792802617,NA,NA
"-","England",2020-01-02,3686,611,3075,0.834237655995659,NA,NA
"-","England",2020-01-03,3696,620,3076,0.832251082251082,NA,NA
"-","England",2020-01-04,3647,664,2983,0.81793254729915,NA,NA
"-","England",2020-01-05,3615,591,3024,0.836514522821577,NA,NA
"-","England",2020-01-06,3698,535,3163,0.855327203893997,NA,NA
"-","England",2020-01-07,3695,517,3178,0.860081190798376,NA,NA
"-","England",2020-01-08,3697,526,3171,0.857722477684609,NA,NA
"-","England",2020-01-09,3697,505,3192,0.863402758993779,NA,NA
"-","England",2020-01-10,3684,610,3074,0.834419109663409,NA,NA
"-","England",2020-01-11,3653,651,3002,0.821790309334793,NA,NA
"-","England",2020-01-12,3652,656,2996,0.820372398685652,NA,NA
"-","England",2020-01-13,3682,602,3080,0.836501901140684,NA,NA
"-","England",2020-01-14,3690,553,3137,0.850135501355014,NA,NA
"-","England",2020-01-15,3704,573,3131,0.845302375809935,NA,NA
"-","England",2020-01-16,3705,559,3146,0.849122807017544,NA,NA
"-","England",2020-01-17,3679,613,3066,0.833378635498777,NA,NA
"-","England",2020-01-18,3646,701,2945,0.807734503565551,NA,NA
"-","England",2020-01-19,3644,724,2920,0.801317233809001,NA,NA
"-","England",2020-01-20,3684,687,2997,0.813517915309446,NA,NA
"-","England",2020-01-21,3683,652,3031,0.822970404561499,NA,NA
"-","England",2020-01-22,3689,633,3056,0.828408782867986,NA,NA
"-","England",2020-01-23,3680,576,3104,0.843478260869565,NA,NA
"-","England",2020-01-24,3675,641,3034,0.825578231292517,NA,NA
"-","England",2020-01-25,3630,693,2937,0.809090909090909,NA,NA
"-","England",2020-01-26,3639,764,2875,0.790052212146194,NA,NA
"-","England",2020-01-27,3675,658,3017,0.820952380952381,NA,NA
"-","England",2020-01-28,3673,623,3050,0.830383882384971,NA,NA
"-","England",2020-01-29,3682,564,3118,0.846822379141771,NA,NA
"-","England",2020-01-30,3654,610,3044,0.833059660645868,NA,NA
"-","England",2020-01-31,3675,648,3027,0.823673469387755,NA,NA
"-","England",2020-02-01,3642,723,2919,0.801482701812191,NA,NA
"-","England",2020-02-02,3629,729,2900,0.799118214384128,NA,NA
"-","England",2020-02-03,3688,626,3062,0.830260303687636,NA,NA
"-","England",2020-02-04,3693,627,3066,0.830219333874898,NA,NA
"-","England",2020-02-05,3686,597,3089,0.838035811177428,NA,NA
"-","England",2020-02-06,3691,680,3011,0.815768084529938,NA,NA
"-","England",2020-02-07,3649,659,2990,0.819402576048232,NA,NA
"-","England",2020-02-08,3631,753,2878,0.792619113191958,NA,NA
"-","England",2020-02-09,3641,841,2800,0.769019500137325,NA,NA
"-","England",2020-02-10,3688,668,3020,0.818872017353579,NA,NA
"-","England",2020-02-11,3681,632,3049,0.828307525129041,NA,NA
"-","England",2020-02-12,3689,635,3054,0.827866630523177,NA,NA
"-","England",2020-02-13,3700,648,3052,0.824864864864865,NA,NA
"-","England",2020-02-14,3679,652,3027,0.822777928784996,NA,NA
"-","England",2020-02-15,3637,720,2917,0.802034643937311,NA,NA
"-","England",2020-02-16,3635,771,2864,0.787895460797799,NA,NA
"-","England",2020-02-17,3677,674,3003,0.816698395431058,NA,NA
"-","England",2020-02-18,3684,688,2996,0.813246471226927,NA,NA
"-","England",2020-02-19,3680,669,3011,0.81820652173913,NA,NA
"-","England",2020-02-20,3691,673,3018,0.81766458954213,NA,NA
"-","England",2020-02-21,3673,673,3000,0.81677103185407,NA,NA
"-","England",2020-02-22,3630,733,2897,0.798071625344353,NA,NA
"-","England",2020-02-23,3643,757,2886,0.792204227285204,NA,NA
"-","England",2020-02-24,3691,691,3000,0.812787862367922,NA,NA
"-","England",2020-02-25,3675,605,3070,0.835374149659864,NA,NA
"-","England",2020-02-26,3669,579,3090,0.842191332788226,NA,NA
"-","England",2020-02-27,3670,631,3039,0.828065395095368,NA,NA
"-","England",2020-02-28,3684,698,2986,0.810532030401737,NA,NA
"-","England",2020-02-29,3641,732,2909,0.798956330678385,NA,NA
"-","England",2020-03-01,3636,748,2888,0.794279427942794,NA,NA
"RAJ","Southend University Hospital NHS Foundation Trust",2019-12-02,26,0,26,1,314097,8.27769765390946
"RAJ","Southend University Hospital NHS Foundation Trust",2019-12-03,27,0,27,1,314097,8.59607064059829
"RAJ","Southend University Hospital NHS Foundation Trust",2019-12-04,26,0,26,1,314097,8.27769765390946
"RAJ","Southend University Hospital NHS Foundation Trust",2019-12-05,27,0,27,1,314097,8.59607064059829
"RAJ","Southend University Hospital NHS Foundation Trust",2019-12-06,26,0,26,1,314097,8.27769765390946
"RAJ","Southend University Hospital NHS Foundation Trust",2019-12-07,26,2,24,0.923076923076923,314097,8.27769765390946
"RAJ","Southend University Hospital NHS Foundation Trust",2019-12-08,26,3,23,0.884615384615385,314097,8.27769765390946
"RAJ","Southend University Hospital NHS Foundation Trust",2019-12-09,26,4,22,0.846153846153846,314097,8.27769765390946
"RAJ","Southend University Hospital NHS Foundation Trust",2019-12-10,26,4,22,0.846153846153846,314097,8.27769765390946
"RAJ","Southend University Hospital NHS Foundation Trust",2019-12-11,26,5,21,0.807692307692308,314097,8.27769765390946
"RAJ","Southend University Hospital NHS Foundation Trust",2019-12-12,26,6,20,0.769230769230769,314097,8.27769765390946
"RAJ","Southend University Hospital NHS Foundation Trust",2019-12-13,26,9,17,0.653846153846154,314097,8.27769765390946
"RAJ","Southend University Hospital NHS Foundation Trust",2019-12-14,26,6,20,0.769230769230769,314097,8.27769765390946
"RAJ","Southend University Hospital NHS Foundation Trust",2019-12-15,26,1,25,0.961538461538462,314097,8.27769765390946
"RAJ","Southend University Hospital NHS Foundation Trust",2019-12-16,26,0,26,1,314097,8.27769765390946
"RAJ","Southend University Hospital NHS Foundation Trust",2019-12-17,26,1,25,0.961538461538462,314097,8.27769765390946
"RAJ","Southend University Hospital NHS Foundation Trust",2019-12-18,26,0,26,1,314097,8.27769765390946
"RAJ","Southend University Hospital NHS Foundation Trust",2019-12-19,26,2,24,0.923076923076923,314097,8.27769765390946
"RAJ","Southend University Hospital NHS Foundation Trust",2019-12-20,26,2,24,0.923076923076923,314097,8.27769765390946
"RAJ","Southend University Hospital NHS Foundation Trust",2019-12-21,26,4,22,0.846153846153846,314097,8.27769765390946
"RAJ","Southend University Hospital NHS Foundation Trust",2019-12-22,26,2,24,0.923076923076923,314097,8.27769765390946
"RAJ","Southend University Hospital NHS Foundation Trust",2019-12-23,26,5,21,0.807692307692308,314097,8.27769765390946
"RAJ","Southend University Hospital NHS Foundation Trust",2019-12-24,26,5,21,0.807692307692308,314097,8.27769765390946
"RAJ","Southend University Hospital NHS Foundation Trust",2019-12-25,26,4,22,0.846153846153846,314097,8.27769765390946
"RAJ","Southend University Hospital NHS Foundation Trust",2019-12-26,26,3,23,0.884615384615385,314097,8.27769765390946
"RAJ","Southend University Hospital NHS Foundation Trust",2019-12-27,26,3,23,0.884615384615385,314097,8.27769765390946
"RAJ","Southend University Hospital NHS Foundation Trust",2019-12-28,26,4,22,0.846153846153846,314097,8.27769765390946
"RAJ","Southend University Hospital NHS Foundation Trust",2019-12-29,26,4,22,0.846153846153846,314097,8.27769765390946
"RAJ","Southend University Hospital NHS Foundation Trust",2019-12-30,26,4,22,0.846153846153846,314097,8.27769765390946
"RAJ","Southend University Hospital NHS Foundation Trust",2019-12-31,26,3,23,0.884615384615385,314097,8.27769765390946
"RAJ","Southend University Hospital NHS Foundation Trust",2020-01-01,26,3,23,0.884615384615385,314097,8.27769765390946
