Code,Name,CC Adult Open_43437,CC Adult Occ_43437,Occupancy rate_43437,CC Adult Open_43438,CC Adult Occ_43438,Occupancy rate_43438,CC Adult Open_43439,CC Adult Occ_43439,Occupancy rate_43439,CC Adult Open_43440,CC Adult Occ_43440,Occupancy rate_43440,CC Adult Open_43441,CC Adult Occ_43441,Occupancy rate_43441,CC Adult Open_43442,CC Adult Occ_43442,Occupancy rate_43442,CC Adult Open_43443,CC Adult Occ_43443,Occupancy rate_43443,CC Adult Open_43444,CC Adult Occ_43444,Occupancy rate_43444,CC Adult Open_43445,CC Adult Occ_43445,Occupancy rate_43445,CC Adult Open_43446,CC Adult Occ_43446,Occupancy rate_43446,CC Adult Open_43447,CC Adult Occ_43447,Occupancy rate_43447,CC Adult Open_43448,CC Adult Occ_43448,Occupancy rate_43448,CC Adult Open_43449,CC Adult Occ_43449,Occupancy rate_43449,CC Adult Open_43450,CC Adult Occ_43450,Occupancy rate_43450,CC Adult Open_43451,CC Adult Occ_43451,Occupancy rate_43451,CC Adult Open_43452,CC Adult Occ_43452,Occupancy rate_43452,CC Adult Open_43453,CC Adult Occ_43453,Occupancy rate_43453,CC Adult Open_43454,CC Adult Occ_43454,Occupancy rate_43454,CC Adult Open_43455,CC Adult Occ_43455,Occupancy rate_43455,CC Adult Open_43456,CC Adult Occ_43456,Occupancy rate_43456,CC Adult Open_43457,CC Adult Occ_43457,Occupancy rate_43457,CC Adult Open_43458,CC Adult Occ_43458,Occupancy rate_43458,CC Adult Open_43459,CC Adult Occ_43459,Occupancy rate_43459,CC Adult Open_43460,CC Adult Occ_43460,Occupancy rate_43460,CC Adult Open_43461,CC Adult Occ_43461,Occupancy rate_43461,CC Adult Open_43462,CC Adult Occ_43462,Occupancy rate_43462,CC Adult Open_43463,CC Adult Occ_43463,Occupancy rate_43463,CC Adult Open_43464,CC Adult Occ_43464,Occupancy rate_43464,CC Adult Open_43465,CC Adult Occ_43465,Occupancy rate_43465,CC Adult Open_43466,CC Adult Occ_43466,Occupancy rate_43466,CC Adult Open_43467,CC Adult Occ_43467,Occupancy rate_43467,CC Adult Open_43468,CC Adult Occ_43468,Occupancy rate_43468,CC Adult Open_43469,CC Adult Occ_43469,Occupancy rate_43469,CC Adult Open_43470,CC Adult Occ_43470,Occupancy rate_43470,CC Adult Open_43471,CC Adult Occ_43471,Occupancy rate_43471,CC Adult Open_43472,CC Adult Occ_43472,Occupancy rate_43472,CC Adult Open_43473,CC Adult Occ_43473,Occupancy rate_43473,CC Adult Open_43474,CC Adult Occ_43474,Occupancy rate_43474,CC Adult Open_43475,CC Adult Occ_43475,Occupancy rate_43475,CC Adult Open_43476,CC Adult Occ_43476,Occupancy rate_43476,CC Adult Open_43477,CC Adult Occ_43477,Occupancy rate_43477,CC Adult Open_43478,CC Adult Occ_43478,Occupancy rate_43478,CC Adult Open_43479,CC Adult Occ_43479,Occupancy rate_43479,CC Adult Open_43480,CC Adult Occ_43480,Occupancy rate_43480,CC Adult Open_43481,CC Adult Occ_43481,Occupancy rate_43481,CC Adult Open_43482,CC Adult Occ_43482,Occupancy rate_43482,CC Adult Open_43483,CC Adult Occ_43483,Occupancy rate_43483,CC Adult Open_43484,CC Adult Occ_43484,Occupancy rate_43484,CC Adult Open_43485,CC Adult Occ_43485,Occupancy rate_43485,CC Adult Open_43486,CC Adult Occ_43486,Occupancy rate_43486,CC Adult Open_43487,CC Adult Occ_43487,Occupancy rate_43487,CC Adult Open_43488,CC Adult Occ_43488,Occupancy rate_43488,CC Adult Open_43489,CC Adult Occ_43489,Occupancy rate_43489,CC Adult Open_43490,CC Adult Occ_43490,Occupancy rate_43490,CC Adult Open_43491,CC Adult Occ_43491,Occupancy rate_43491,CC Adult Open_43492,CC Adult Occ_43492,Occupancy rate_43492,CC Adult Open_43493,CC Adult Occ_43493,Occupancy rate_43493,CC Adult Open_43494,CC Adult Occ_43494,Occupancy rate_43494,CC Adult Open_43495,CC Adult Occ_43495,Occupancy rate_43495,CC Adult Open_43496,CC Adult Occ_43496,Occupancy rate_43496,CC Adult Open_43497,CC Adult Occ_43497,Occupancy rate_43497,CC Adult Open_43498,CC Adult Occ_43498,Occupancy rate_43498,CC Adult Open_43499,CC Adult Occ_43499,Occupancy rate_43499,CC Adult Open_43500,CC Adult Occ_43500,Occupancy rate_43500,CC Adult Open_43501,CC Adult Occ_43501,Occupancy rate_43501,CC Adult Open_43502,CC Adult Occ_43502,Occupancy rate_43502,CC Adult Open_43503,CC Adult Occ_43503,Occupancy rate_43503,CC Adult Open_43504,CC Adult Occ_43504,Occupancy rate_43504,CC Adult Open_43505,CC Adult Occ_43505,Occupancy rate_43505,CC Adult Open_43506,CC Adult Occ_43506,Occupancy rate_43506,CC Adult Open_43507,CC Adult Occ_43507,Occupancy rate_43507,CC Adult Open_43508,CC Adult Occ_43508,Occupancy rate_43508,CC Adult Open_43509,CC Adult Occ_43509,Occupancy rate_43509,CC Adult Open_43510,CC Adult Occ_43510,Occupancy rate_43510,CC Adult Open_43511,CC Adult Occ_43511,Occupancy rate_43511,CC Adult Open_43512,CC Adult Occ_43512,Occupancy rate_43512,CC Adult Open_43513,CC Adult Occ_43513,Occupancy rate_43513,CC Adult Open_43514,CC Adult Occ_43514,Occupancy rate_43514,CC Adult Open_43515,CC Adult Occ_43515,Occupancy rate_43515,CC Adult Open_43516,CC Adult Occ_43516,Occupancy rate_43516,CC Adult Open_43517,CC Adult Occ_43517,Occupancy rate_43517,CC Adult Open_43518,CC Adult Occ_43518,Occupancy rate_43518,CC Adult Open_43519,CC Adult Occ_43519,Occupancy rate_43519,CC Adult Open_43520,CC Adult Occ_43520,Occupancy rate_43520,CC Adult Open_43521,CC Adult Occ_43521,Occupancy rate_43521,CC Adult Open_43522,CC Adult Occ_43522,Occupancy rate_43522,CC Adult Open_43523,CC Adult Occ_43523,Occupancy rate_43523,CC Adult Open_43524,CC Adult Occ_43524,Occupancy rate_43524,CC Adult Open_43525,CC Adult Occ_43525,Occupancy rate_43525,CC Adult Open_43526,CC Adult Occ_43526,Occupancy rate_43526,CC Adult Open_43527,CC Adult Occ_43527,Occupancy rate_43527
-,England,"3,708","3,056",82.4%,"3,710","3,119",84.1%,"3,694","3,104",84.0%,"3,705","3,087",83.3%,"3,690","3,020",81.8%,"3,648","2,925",80.2%,"3,657","2,891",79.1%,"3,702","3,063",82.7%,"3,700","3,061",82.7%,"3,708","3,090",83.3%,"3,707","3,089",83.3%,"3,667","2,926",79.8%,"3,624","2,869",79.2%,"3,662","2,854",77.9%,"3,696","3,033",82.1%,"3,705","3,057",82.5%,"3,687","3,089",83.8%,"3,695","3,041",82.3%,"3,639","2,936",80.7%,"3,621","2,863",79.1%,"3,636","2,767",76.1%,"3,641","2,745",75.4%,"3,643","2,706",74.3%,"3,637","2,699",74.2%,"3,663","2,845",77.7%,"3,659","2,911",79.6%,"3,649","2,847",78.0%,"3,644","2,853",78.3%,"3,644","2,986",81.9%,"3,654","2,965",81.1%,"3,655","3,064",83.8%,"3,673","3,140",85.5%,"3,656","3,100",84.8%,"3,640","3,012",82.7%,"3,643","3,025",83.0%,"3,680","3,191",86.7%,"3,716","3,245",87.3%,"3,699","3,210",86.8%,"3,702","3,188",86.1%,"3,584","3,002",83.8%,"3,619","3,014",83.3%,"3,659","3,019",82.5%,"3,702","3,205",86.6%,"3,707","3,265",88.1%,"3,720","3,268",87.8%,"3,713","3,193",86.0%,"3,688","3,095",83.9%,"3,649","2,986",81.8%,"3,678","3,029",82.4%,"3,715","3,196",86.0%,"3,714","3,224",86.8%,"3,693","3,215",87.1%,"3,712","3,215",86.6%,"3,666","3,106",84.7%,"3,613","3,016",83.5%,"3,656","3,004",82.2%,"3,707","3,173",85.6%,"3,698","3,190",86.3%,"3,710","3,232",87.1%,"3,702","3,229",87.2%,"3,701","3,205",86.6%,"3,674","3,051",83.0%,"3,676","3,070",83.5%,"3,702","3,194",86.3%,"3,705","3,202",86.4%,"3,717","3,244",87.3%,"3,717","3,209",86.3%,"3,650","3,166",86.7%,"3,599","2,993",83.2%,"3,665","3,053",83.3%,"3,712","3,200",86.2%,"3,713","3,216",86.6%,"3,706","3,224",87.0%,"3,703","3,198",86.4%,"3,698","3,149",85.2%,"3,648","3,002",82.3%,"3,644","2,991",82.1%,"3,689","3,094",83.9%,"3,709","3,186",85.9%,"3,704","3,166",85.5%,"3,693","3,118",84.4%,"3,638","3,000",82.5%,"3,646","2,967",81.4%,"3,649","2,924",80.1%,"3,696","3,087",83.5%,"3,700","3,143",84.9%,"3,694","3,109",84.2%,"3,705","3,101",83.7%,"3,672","2,993",81.5%,"3,646","2,926",80.3%,"3,671","2,912",79.3%
RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",52,43,82.7%,52,46,88.5%,52,45,86.5%,52,49,94.2%,52,47,90.4%,52,47,90.4%,52,50,96.2%,52,48,92.3%,52,47,90.4%,52,45,86.5%,52,46,88.5%,52,48,92.3%,52,46,88.5%,52,43,82.7%,52,41,78.8%,52,44,84.6%,52,46,88.5%,52,38,73.1%,52,47,90.4%,52,44,84.6%,52,46,88.5%,52,48,92.3%,52,52,100.0%,52,49,94.2%,52,49,94.2%,52,44,84.6%,52,47,90.4%,52,42,80.8%,52,49,94.2%,52,41,78.8%,52,43,82.7%,52,47,90.4%,52,43,82.7%,52,45,86.5%,52,47,90.4%,52,43,82.7%,52,44,84.6%,52,49,94.2%,52,50,96.2%,52,47,90.4%,52,45,86.5%,52,44,84.6%,52,43,82.7%,52,43,82.7%,52,47,90.4%,52,46,88.5%,52,43,82.7%,52,47,90.4%,52,51,98.1%,52,50,96.2%,52,44,84.6%,52,45,86.5%,52,46,88.5%,52,43,82.7%,52,48,92.3%,52,46,88.5%,52,48,92.3%,52,44,84.6%,52,48,92.3%,52,46,88.5%,52,45,86.5%,52,47,90.4%,52,50,96.2%,52,47,90.4%,52,40,76.9%,52,47,90.4%,52,47,90.4%,52,49,94.2%,52,50,96.2%,52,52,100.0%,52,47,90.4%,52,46,88.5%,52,49,94.2%,52,47,90.4%,52,49,94.2%,52,44,84.6%,52,48,92.3%,52,51,98.1%,52,46,88.5%,52,46,88.5%,52,43,82.7%,52,42,80.8%,52,44,84.6%,52,43,82.7%,52,43,82.7%,52,49,94.2%,52,40,76.9%,52,46,88.5%,52,38,73.1%,52,38,73.1%,52,39,75.0%
R1H,Barts Health NHS Trust,120,109,90.8%,120,110,91.7%,120,113,94.2%,120,111,92.5%,120,105,87.5%,118,94,79.7%,118,89,75.4%,119,87,73.1%,118,95,80.5%,117,103,88.0%,120,105,87.5%,119,58,48.7%,118,100,84.7%,117,56,47.9%,118,103,87.3%,116,55,47.4%,119,105,88.2%,119,106,89.1%,119,95,79.8%,119,90,75.6%,121,91,75.2%,120,83,69.2%,118,80,67.8%,118,80,67.8%,118,88,74.6%,119,89,74.8%,118,87,73.7%,118,80,67.8%,120,88,73.3%,120,94,78.3%,120,105,87.5%,120,109,90.8%,120,113,94.2%,120,102,85.0%,120,101,84.2%,120,110,91.7%,120,108,90.0%,121,113,93.4%,121,112,92.6%,119,78,65.5%,120,109,90.8%,120,104,86.7%,120,113,94.2%,121,111,91.7%,120,108,90.0%,120,109,90.8%,117,106,90.6%,118,100,84.7%,120,104,86.7%,120,109,90.8%,119,116,97.5%,120,113,94.2%,119,111,93.3%,120,105,87.5%,120,103,85.8%,120,103,85.8%,119,108,90.8%,119,106,89.1%,119,107,89.9%,119,104,87.4%,120,106,88.3%,123,101,82.1%,121,103,85.1%,118,107,90.7%,121,110,90.9%,121,110,90.9%,120,107,89.2%,68,66,97.1%,54,48,88.9%,120,110,91.7%,120,102,85.0%,122,110,90.2%,121,106,87.6%,122,111,91.0%,122,110,90.2%,122,101,82.8%,120,94,78.3%,118,94,79.7%,122,98,80.3%,122,107,87.7%,122,106,86.9%,68,61,89.7%,122,108,88.5%,122,99,81.1%,121,104,86.0%,122,104,85.2%,121,104,86.0%,122,103,84.4%,121,104,86.0%,122,107,87.7%,122,107,87.7%
RQM,Chelsea and Westminster Hospital NHS Foundation Trust,20,17,85.0%,20,17,85.0%,20,19,95.0%,20,18,90.0%,20,17,85.0%,20,19,95.0%,20,18,90.0%,20,17,85.0%,20,19,95.0%,20,17,85.0%,20,17,85.0%,20,17,85.0%,20,18,90.0%,20,18,90.0%,20,19,95.0%,20,18,90.0%,20,20,100.0%,20,16,80.0%,20,18,90.0%,20,17,85.0%,20,17,85.0%,20,17,85.0%,20,18,90.0%,20,15,75.0%,20,15,75.0%,20,18,90.0%,20,18,90.0%,20,15,75.0%,20,14,70.0%,20,16,80.0%,20,18,90.0%,20,18,90.0%,20,17,85.0%,20,18,90.0%,20,18,90.0%,21,21,100.0%,20,18,90.0%,20,20,100.0%,21,21,100.0%,20,20,100.0%,20,20,100.0%,21,20,95.2%,21,21,100.0%,21,20,95.2%,21,19,90.5%,20,19,95.0%,20,18,90.0%,20,19,95.0%,21,20,95.2%,21,20,95.2%,20,19,95.0%,21,19,90.5%,21,21,100.0%,21,20,95.2%,20,19,95.0%,20,19,95.0%,21,20,95.2%,21,20,95.2%,20,19,95.0%,20,19,95.0%,20,19,95.0%,20,18,90.0%,20,18,90.0%,20,19,95.0%,21,19,90.5%,21,20,95.2%,20,18,90.0%,20,18,90.0%,20,18,90.0%,20,19,95.0%,21,20,95.2%,21,21,100.0%,21,19,90.5%,21,19,90.5%,21,19,90.5%,20,18,90.0%,20,18,90.0%,20,18,90.0%,20,18,90.0%,20,18,90.0%,20,17,85.0%,20,20,100.0%,20,19,95.0%,20,19,95.0%,20,17,85.0%,20,16,80.0%,20,17,85.0%,20,15,75.0%,20,14,70.0%,20,14,70.0%,20,16,80.0%
RJ6,Croydon Health Services NHS Trust,14,8,57.1%,14,14,100.0%,14,14,100.0%,14,14,100.0%,14,14,100.0%,14,11,78.6%,14,10,71.4%,14,12,85.7%,15,15,100.0%,14,12,85.7%,14,12,85.7%,14,14,100.0%,14,14,100.0%,14,14,100.0%,14,14,100.0%,14,12,85.7%,14,12,85.7%,14,12,85.7%,14,12,85.7%,14,14,100.0%,14,12,85.7%,14,12,85.7%,14,12,85.7%,14,12,85.7%,14,12,85.7%,14,13,92.9%,14,13,92.9%,14,12,85.7%,14,14,100.0%,14,14,100.0%,14,14,100.0%,14,14,100.0%,16,16,100.0%,14,12,85.7%,14,13,92.9%,14,14,100.0%,14,12,85.7%,14,13,92.9%,14,14,100.0%,14,14,100.0%,14,13,92.9%,14,13,92.9%,14,14,100.0%,14,12,85.7%,14,10,71.4%,14,11,78.6%,14,9,64.3%,14,9,64.3%,14,12,85.7%,14,11,78.6%,14,11,78.6%,14,10,71.4%,14,11,78.6%,14,11,78.6%,14,11,78.6%,14,11,78.6%,14,12,85.7%,14,12,85.7%,14,8,57.1%,14,9,64.3%,14,10,71.4%,14,9,64.3%,14,10,71.4%,14,14,100.0%,14,14,100.0%,14,14,100.0%,14,13,92.9%,14,13,92.9%,14,13,92.9%,14,13,92.9%,14,12,85.7%,14,13,92.9%,14,14,100.0%,15,15,100.0%,14,13,92.9%,14,12,85.7%,14,12,85.7%,14,12,85.7%,14,12,85.7%,14,11,78.6%,14,13,92.9%,14,11,78.6%,14,12,85.7%,14,13,92.9%,14,12,85.7%,14,14,100.0%,14,12,85.7%,14,11,78.6%,14,10,71.4%,14,11,78.6%,14,12,85.7%
RVR,Epsom and St Helier University Hospitals NHS Trust,21,18,85.7%,21,20,95.2%,21,19,90.5%,21,20,95.2%,21,21,100.0%,21,18,85.7%,21,18,85.7%,21,20,95.2%,21,15,71.4%,21,19,90.5%,21,20,95.2%,21,19,90.5%,21,16,76.2%,21,17,81.0%,21,19,90.5%,21,18,85.7%,21,18,85.7%,21,16,76.2%,21,13,61.9%,21,12,57.1%,21,11,52.4%,21,11,52.4%,21,12,57.1%,21,15,71.4%,21,18,85.7%,21,16,76.2%,21,15,71.4%,21,15,71.4%,21,13,61.9%,21,15,71.4%,21,14,66.7%,21,19,90.5%,21,20,95.2%,21,18,85.7%,21,20,95.2%,21,20,95.2%,21,19,90.5%,21,19,90.5%,21,18,85.7%,21,16,76.2%,21,17,81.0%,21,18,85.7%,21,21,100.0%,21,20,95.2%,21,19,90.5%,21,20,95.2%,21,19,90.5%,21,20,95.2%,21,19,90.5%,21,20,95.2%,21,18,85.7%,21,18,85.7%,21,19,90.5%,21,20,95.2%,21,19,90.5%,21,18,85.7%,21,20,95.2%,21,19,90.5%,21,20,95.2%,21,19,90.5%,21,18,85.7%,21,20,95.2%,21,21,100.0%,21,19,90.5%,21,18,85.7%,21,19,90.5%,21,20,95.2%,21,19,90.5%,21,18,85.7%,21,17,81.0%,21,17,81.0%,21,17,81.0%,21,18,85.7%,21,19,90.5%,21,17,81.0%,21,14,66.7%,21,18,85.7%,21,19,90.5%,21,18,85.7%,21,16,76.2%,21,21,100.0%,21,17,81.0%,21,20,95.2%,21,19,90.5%,21,17,81.0%,21,16,76.2%,21,18,85.7%,21,17,81.0%,21,17,81.0%,21,17,81.0%,21,13,61.9%
RJ1,Guy's and St Thomas' NHS Foundation Trust,85,78,91.8%,82,70,85.4%,82,75,91.5%,82,71,86.6%,82,78,95.1%,82,80,97.6%,82,68,82.9%,82,72,87.8%,82,69,84.1%,79,68,86.1%,79,73,92.4%,79,75,94.9%,79,77,97.5%,79,67,84.8%,79,68,86.1%,79,74,93.7%,79,73,92.4%,79,74,93.7%,79,75,94.9%,79,73,92.4%,79,70,88.6%,79,63,79.7%,79,59,74.7%,79,58,73.4%,79,59,74.7%,79,73,92.4%,79,72,91.1%,79,61,77.2%,79,66,83.5%,79,63,79.7%,79,71,89.9%,79,76,96.2%,79,73,92.4%,79,72,91.1%,79,77,97.5%,79,70,88.6%,79,71,89.9%,79,79,100.0%,79,73,92.4%,79,67,84.8%,79,67,84.8%,79,71,89.9%,79,79,100.0%,79,79,100.0%,79,79,100.0%,79,75,94.9%,79,73,92.4%,79,72,91.1%,89,73,82.0%,89,74,83.1%,89,87,97.8%,89,84,94.4%,89,81,91.0%,89,77,86.5%,89,69,77.5%,89,65,73.0%,89,78,87.6%,89,81,91.0%,89,83,93.3%,89,83,93.3%,89,86,96.6%,89,72,80.9%,89,76,85.4%,89,84,94.4%,89,87,97.8%,89,82,92.1%,89,82,92.1%,89,83,93.3%,89,75,84.3%,89,73,82.0%,89,85,95.5%,89,84,94.4%,89,88,98.9%,89,83,93.3%,89,82,92.1%,89,81,91.0%,89,76,85.4%,89,86,96.6%,89,86,96.6%,89,83,93.3%,89,86,96.6%,89,80,89.9%,89,75,84.3%,89,82,92.1%,89,81,91.0%,89,85,95.5%,89,79,88.8%,89,84,94.4%,89,85,95.5%,89,82,92.1%,89,77,86.5%
RQX,Homerton University Hospital NHS Foundation Trust,8,6,75.0%,8,8,100.0%,8,8,100.0%,8,8,100.0%,8,8,100.0%,9,9,100.0%,10,10,100.0%,10,10,100.0%,9,9,100.0%,9,9,100.0%,10,10,100.0%,8,8,100.0%,8,7,87.5%,8,8,100.0%,9,9,100.0%,8,8,100.0%,8,8,100.0%,9,9,100.0%,8,8,100.0%,9,9,100.0%,8,7,87.5%,8,6,75.0%,8,6,75.0%,8,7,87.5%,9,9,100.0%,9,9,100.0%,8,5,62.5%,8,5,62.5%,8,5,62.5%,8,8,100.0%,8,7,87.5%,8,8,100.0%,8,4,50.0%,8,6,75.0%,8,6,75.0%,8,7,87.5%,8,7,87.5%,9,9,100.0%,10,10,100.0%,10,10,100.0%,10,10,100.0%,12,12,100.0%,11,11,100.0%,10,10,100.0%,11,11,100.0%,12,12,100.0%,11,11,100.0%,8,7,87.5%,8,7,87.5%,9,9,100.0%,9,9,100.0%,10,10,100.0%,10,10,100.0%,11,11,100.0%,8,7,87.5%,9,9,100.0%,10,10,100.0%,8,8,100.0%,8,7,87.5%,8,8,100.0%,10,10,100.0%,9,9,100.0%,10,10,100.0%,10,10,100.0%,9,9,100.0%,8,8,100.0%,8,7,87.5%,8,6,75.0%,8,8,100.0%,8,7,87.5%,8,5,62.5%,8,5,62.5%,8,4,50.0%,8,6,75.0%,11,11,100.0%,8,7,87.5%,8,8,100.0%,8,8,100.0%,9,9,100.0%,9,9,100.0%,8,5,62.5%,8,6,75.0%,8,5,62.5%,8,5,62.5%,8,6,75.0%,8,6,75.0%,8,7,87.5%,10,10,100.0%,10,10,100.0%,9,9,100.0%,9,9,100.0%
RYJ,Imperial College Healthcare NHS Trust,72,70,97.2%,72,70,97.2%,72,68,94.4%,72,72,100.0%,72,70,97.2%,72,72,100.0%,72,69,95.8%,72,72,100.0%,72,72,100.0%,72,69,95.8%,72,68,94.4%,72,69,95.8%,72,72,100.0%,72,71,98.6%,72,67,93.1%,72,66,91.7%,72,70,97.2%,72,69,95.8%,72,67,93.1%,72,67,93.1%,72,67,93.1%,72,66,91.7%,72,68,94.4%,72,66,91.7%,72,67,93.1%,72,67,93.1%,72,64,88.9%,72,68,94.4%,72,69,95.8%,72,67,93.1%,72,69,95.8%,72,65,90.3%,72,66,91.7%,72,66,91.7%,72,67,93.1%,72,71,98.6%,72,72,100.0%,72,72,100.0%,72,72,100.0%,72,71,98.6%,72,70,97.2%,72,71,98.6%,72,69,95.8%,72,70,97.2%,72,69,95.8%,72,68,94.4%,72,71,98.6%,72,70,97.2%,72,71,98.6%,72,67,93.1%,72,70,97.2%,72,71,98.6%,72,70,97.2%,72,70,97.2%,72,69,95.8%,72,70,97.2%,72,70,97.2%,72,70,97.2%,72,71,98.6%,72,69,95.8%,72,69,95.8%,72,69,95.8%,72,69,95.8%,72,69,95.8%,72,71,98.6%,72,70,97.2%,72,69,95.8%,72,71,98.6%,72,70,97.2%,72,71,98.6%,72,67,93.1%,72,66,91.7%,72,69,95.8%,72,69,95.8%,72,67,93.1%,72,66,91.7%,72,68,94.4%,72,60,83.3%,72,67,93.1%,72,67,93.1%,72,65,90.3%,72,69,95.8%,72,69,95.8%,72,67,93.1%,72,62,86.1%,72,63,87.5%,72,67,93.1%,72,66,91.7%,72,65,90.3%,72,69,95.8%,72,66,91.7%
RJZ,King's College Hospital NHS Foundation Trust,96,91,94.8%,96,93,96.9%,96,90,93.8%,96,90,93.8%,96,90,93.8%,96,88,91.7%,96,91,94.8%,96,93,96.9%,96,93,96.9%,96,93,96.9%,96,93,96.9%,96,93,96.9%,97,93,95.9%,96,84,87.5%,96,90,93.8%,96,95,99.0%,96,90,93.8%,96,92,95.8%,96,90,93.8%,96,92,95.8%,96,90,93.8%,96,90,93.8%,97,89,91.8%,98,86,87.8%,97,89,91.8%,97,94,96.9%,98,97,99.0%,98,95,96.9%,98,95,96.9%,98,92,93.9%,97,94,96.9%,97,93,95.9%,96,95,99.0%,96,93,96.9%,96,91,94.8%,97,96,99.0%,96,92,95.8%,96,93,96.9%,96,92,95.8%,96,92,95.8%,96,91,94.8%,96,93,96.9%,100,96,96.0%,100,96,96.0%,100,97,97.0%,101,99,98.0%,101,98,97.0%,101,99,98.0%,102,102,100.0%,102,99,97.1%,100,98,98.0%,101,99,98.0%,102,100,98.0%,101,97,96.0%,100,92,92.0%,100,97,97.0%,100,96,96.0%,100,96,96.0%,100,96,96.0%,101,97,96.0%,100,96,96.0%,100,91,91.0%,100,91,91.0%,100,100,100.0%,101,96,95.0%,100,93,93.0%,100,98,98.0%,100,96,96.0%,100,97,97.0%,100,98,98.0%,100,95,95.0%,100,97,97.0%,100,97,97.0%,100,96,96.0%,100,93,93.0%,100,94,94.0%,100,97,97.0%,100,95,95.0%,100,95,95.0%,100,93,93.0%,100,89,89.0%,100,89,89.0%,100,93,93.0%,100,94,94.0%,100,95,95.0%,100,97,97.0%,101,100,99.0%,101,99,98.0%,100,97,97.0%,100,95,95.0%,100,99,99.0%
