"Code","Name","Region_code","Region_name","Date","Period","adult_beds_open","adult_beds_occupied","adult_beds_available","Percentage_adult_beds_available","Percentage_adult_cc_beds_occupied","last_thursday","Emergency_catchment_pop_2018","cc_beds_per_100000","occupancy_above_85"
"R0A","Manchester University NHS Foundation Trust","Y62","North West Commissioning Region",2020-01-01,"January-2020",108,90,18,0.166666666666667,0.833333333333333,2020-01-30,918210,11.7620152252753,"below 85%"
"R0B","South Tyneside and Sunderland NHS Foundation Trust","Y63","North East and Yorkshire Commissioning Region",2020-01-01,"January-2020",24,16,8,0.333333333333333,0.666666666666667,2020-01-30,NA,NA,"below 85%"
"R1F","Isle of Wight NHS Trust","Y59","South East Commissioning Region",2020-01-01,"January-2020",6,3,3,0.5,0.5,2020-01-30,132704,4.52134072823728,"below 85%"
"R1H","Barts Health NHS Trust","Y56","London Commissioning Region",2020-01-01,"January-2020",122,105,17,0.139344262295082,0.860655737704918,2020-01-30,1231581,9.90596639603891,">= 85%"
"R1K","London North West University Healthcare NHS Trust","Y56","London Commissioning Region",2020-01-01,"January-2020",33,28,5,0.151515151515152,0.848484848484849,2020-01-30,692928,4.7623995566639,"below 85%"
"RA2","Royal Surrey County Hospital NHS Foundation Trust","Y59","South East Commissioning Region",2020-01-01,"January-2020",21,20,1,0.0476190476190476,0.952380952380952,2020-01-30,329354,6.37611809785216,">= 85%"
"RA3","Weston Area Health NHS Trust","Y58","South West Commissioning Region",2020-01-01,"January-2020",5,5,0,0,1,2020-01-30,111148,4.49850649584338,">= 85%"
"RA4","Yeovil District Hospital NHS Foundation Trust","Y58","South West Commissioning Region",2020-01-01,"January-2020",10,10,0,0,1,2020-01-30,176778,5.6568124992929,">= 85%"
"RA7","University Hospitals Bristol NHS Foundation Trust","Y58","South West Commissioning Region",2020-01-01,"January-2020",55,54,1,0.0181818181818182,0.981818181818182,2020-01-30,515351,10.6723378823365,">= 85%"
"RA9","Torbay and South Devon NHS Foundation Trust","Y58","South West Commissioning Region",2020-01-01,"January-2020",10,6,4,0.4,0.6,2020-01-30,276332,3.61883531404253,"below 85%"
"RAE","Bradford Teaching Hospitals NHS Foundation Trust","Y63","North East and Yorkshire Commissioning Region",2020-01-01,"January-2020",16,13,3,0.1875,0.8125,2020-01-30,424595,3.76829684758417,"below 85%"
"RAJ","Southend University Hospital NHS Foundation Trust","Y61","East of England Commissioning Region",2020-01-01,"January-2020",26,26,0,0,1,2020-01-30,311582,8.34451284092149,">= 85%"
"RAL","Royal Free London NHS Foundation Trust","Y56","London Commissioning Region",2020-01-01,"January-2020",86,69,17,0.197674418604651,0.802325581395349,2020-01-30,666436,12.9044649448709,"below 85%"
"RAN","Royal National Orthopaedic Hospital NHS Trust","Y56","London Commissioning Region",2020-01-01,"January-2020",14,7,7,0.5,0.5,2020-01-30,5864,238.744884038199,"below 85%"
"RAP","North Middlesex University Hospital NHS Trust","Y56","London Commissioning Region",2020-01-01,"January-2020",10,9,1,0.1,0.9,2020-01-30,338374,2.95530980512687,">= 85%"
"RAS","The Hillingdon Hospitals NHS Foundation Trust","Y56","London Commissioning Region",2020-01-01,"January-2020",9,8,1,0.111111111111111,0.888888888888889,2020-01-30,249319,3.60983318559757,">= 85%"
"RAX","Kingston Hospital NHS Foundation Trust","Y56","London Commissioning Region",2020-01-01,"January-2020",14,10,4,0.285714285714286,0.714285714285714,2020-01-30,317010,4.41626447115233,"below 85%"
"RBA","Taunton and Somerset NHS Foundation Trust","Y58","South West Commissioning Region",2020-01-01,"January-2020",14,11,3,0.214285714285714,0.785714285714286,2020-01-30,324469,4.31474193220308,"below 85%"
"RBD","Dorset County Hospital NHS Foundation Trust","Y58","South West Commissioning Region",2020-01-01,"January-2020",8,6,2,0.25,0.75,2020-01-30,191829,4.17038091216657,"below 85%"
"RBK","Walsall Healthcare NHS Trust","Y60","Midlands Commissioning Region",2020-01-01,"January-2020",13,9,4,0.307692307692308,0.692307692307692,2020-01-30,258542,5.02819657927919,"below 85%"
"RBL","Wirral University Teaching Hospital NHS Foundation Trust","Y62","North West Commissioning Region",2020-01-01,"January-2020",18,17,1,0.0555555555555556,0.944444444444444,2020-01-30,315354,5.70787115432181,">= 85%"
"RBN","St Helens and Knowsley Teaching Hospitals NHS Trust","Y62","North West Commissioning Region",2020-01-01,"January-2020",14,13,1,0.0714285714285714,0.928571428571429,2020-01-30,362282,3.86439293147327,">= 85%"
"RBQ","Liverpool Heart and Chest Hospital NHS Foundation Trust","Y62","North West Commissioning Region",2020-01-01,"January-2020",34,33,1,0.0294117647058824,0.970588235294118,2020-01-30,30671,110.853901079195,">= 85%"
"RBS","Alder Hey Children's NHS Foundation Trust","Y62","North West Commissioning Region",2020-01-01,"January-2020",0,0,0,NA,NA,2020-01-30,161104,0,NA
"RBT","Mid Cheshire Hospitals NHS Foundation Trust","Y62","North West Commissioning Region",2020-01-01,"January-2020",11,8,3,0.272727272727273,0.727272727272727,2020-01-30,268257,4.10054537253455,"below 85%"
"RBV","The Christie NHS Foundation Trust","Y62","North West Commissioning Region",2020-01-01,"January-2020",6,5,1,0.166666666666667,0.833333333333333,2020-01-30,38726,15.4934669214481,"below 85%"
"RBZ","Northern Devon Healthcare NHS Trust","Y58","South West Commissioning Region",2020-01-01,"January-2020",8,3,5,0.625,0.375,2020-01-30,164689,4.8576407653213,"below 85%"
"RC1","Bedford Hospital NHS Trust","Y61","East of England Commissioning Region",2020-01-01,"January-2020",11,8,3,0.272727272727273,0.727272727272727,2020-01-30,236128,4.65849031034015,"below 85%"
"RC9","Luton and Dunstable University Hospital NHS Foundation Trust","Y61","East of England Commissioning Region",2020-01-01,"January-2020",17,14,3,0.176470588235294,0.823529411764706,2020-01-30,384323,4.42336264027914,"below 85%"
"RCB","York Teaching Hospital NHS Foundation Trust","Y63","North East and Yorkshire Commissioning Region",2020-01-01,"January-2020",19,17,2,0.105263157894737,0.894736842105263,2020-01-30,529147,3.59068463016893,">= 85%"
"RCD","Harrogate and District NHS Foundation Trust","Y63","North East and Yorkshire Commissioning Region",2020-01-01,"January-2020",8,6,2,0.25,0.75,2020-01-30,167611,4.772956428874,"below 85%"
"RCF","Airedale NHS Foundation Trust","Y63","North East and Yorkshire Commissioning Region",2020-01-01,"January-2020",7,7,0,0,1,2020-01-30,183538,3.81392409201364,">= 85%"
"RCU","Sheffield Children's NHS Foundation Trust","Y63","North East and Yorkshire Commissioning Region",2020-01-01,"January-2020",0,0,0,NA,NA,2020-01-30,128636,0,NA
"RCX","The Queen Elizabeth Hospital, King's Lynn, NHS Foundation Trust","Y61","East of England Commissioning Region",2020-01-01,"January-2020",13,8,5,0.384615384615385,0.615384615384615,2020-01-30,237336,5.47746654531972,"below 85%"
"RD1","Royal United Hospitals Bath NHS Foundation Trust","Y58","South West Commissioning Region",2020-01-01,"January-2020",13,7,6,0.461538461538462,0.538461538461538,2020-01-30,433152,3.00125591016548,"below 85%"
"RD3","Poole Hospital NHS Foundation Trust","Y58","South West Commissioning Region",2020-01-01,"January-2020",11,10,1,0.0909090909090909,0.909090909090909,2020-01-30,318034,3.458749693429,">= 85%"
"RD8","Milton Keynes University Hospital NHS Foundation Trust","Y61","East of England Commissioning Region",2020-01-01,"January-2020",9,7,2,0.222222222222222,0.777777777777778,2020-01-30,298785,3.01219940760078,"below 85%"
"RDD","Basildon and Thurrock University Hospitals NHS Foundation Trust","Y61","East of England Commissioning Region",2020-01-01,"January-2020",34,34,0,0,1,2020-01-30,393429,8.64196589473577,">= 85%"
"RDE","East Suffolk and North Essex NHS Foundation Trust","Y61","East of England Commissioning Region",2020-01-01,"January-2020",25,22,3,0.12,0.88,2020-01-30,706849,3.53682328191735,">= 85%"
"RDU","Frimley Health NHS Foundation Trust","Y59","South East Commissioning Region",2020-01-01,"January-2020",24,16,8,0.333333333333333,0.666666666666667,2020-01-30,825540,2.90718802238535,"below 85%"
"RDZ","The Royal Bournemouth and Christchurch Hospitals NHS Foundation Trust","Y58","South West Commissioning Region",2020-01-01,"January-2020",12,9,3,0.25,0.75,2020-01-30,263765,4.54950429359468,"below 85%"
"REF","Royal Cornwall Hospitals NHS Trust","Y58","South West Commissioning Region",2020-01-01,"January-2020",15,15,0,0,1,2020-01-30,452260,3.31667624817583,">= 85%"
"REM","Liverpool University Hospitals NHS Foundation Trust","Y62","North West Commissioning Region",2020-01-01,"January-2020",59,49,10,0.169491525423729,0.830508474576271,2020-01-30,276518,21.3367665034464,"below 85%"
"REP","Liverpool Women's NHS Foundation Trust","Y62","North West Commissioning Region",2020-01-01,"January-2020",2,0,2,1,0,2020-01-30,15828,12.6358352287086,"below 85%"
"RET","The Walton Centre NHS Foundation Trust","Y62","North West Commissioning Region",2020-01-01,"January-2020",20,14,6,0.3,0.7,2020-01-30,17732,112.790435371081,"below 85%"
"RF4","Barking, Havering and Redbridge University Hospitals NHS Trust","Y56","London Commissioning Region",2020-01-01,"January-2020",52,44,8,0.153846153846154,0.846153846153846,2020-01-30,604029,8.60885818396137,"below 85%"
"RFF","Barnsley Hospital NHS Foundation Trust","Y63","North East and Yorkshire Commissioning Region",2020-01-01,"January-2020",11,9,2,0.181818181818182,0.818181818181818,2020-01-30,227127,4.84310539918196,"below 85%"
"RFR","The Rotherham NHS Foundation Trust","Y63","North East and Yorkshire Commissioning Region",2020-01-01,"January-2020",13,9,4,0.307692307692308,0.692307692307692,2020-01-30,212908,6.10592368534766,"below 85%"
"RFS","Chesterfield Royal Hospital NHS Foundation Trust","Y60","Midlands Commissioning Region",2020-01-01,"January-2020",15,14,1,0.0666666666666667,0.933333333333333,2020-01-30,267535,5.60674304296634,">= 85%"
"RGM","Royal Papworth Hospital NHS Foundation Trust","Y61","East of England Commissioning Region",2020-01-01,"January-2020",43,38,5,0.116279069767442,0.883720930232558,2020-01-30,21467,200.307448642102,">= 85%"
"RGN","North West Anglia NHS Foundation Trust","Y61","East of England Commissioning Region",2020-01-01,"January-2020",22,13,9,0.409090909090909,0.590909090909091,2020-01-30,531204,4.14153507880212,"below 85%"
"RGP","James Paget University Hospitals NHS Foundation Trust","Y61","East of England Commissioning Region",2020-01-01,"January-2020",12,8,4,0.333333333333333,0.666666666666667,2020-01-30,207602,5.78029113399678,"below 85%"
"RGR","West Suffolk NHS Foundation Trust","Y61","East of England Commissioning Region",2020-01-01,"January-2020",9,5,4,0.444444444444444,0.555555555555556,2020-01-30,268025,3.35789571868296,"below 85%"
"RGT","Cambridge University Hospitals NHS Foundation Trust","Y61","East of England Commissioning Region",2020-01-01,"January-2020",64,54,10,0.15625,0.84375,2020-01-30,526081,12.1654269969834,"below 85%"
"RH8","Royal Devon and Exeter NHS Foundation Trust","Y58","South West Commissioning Region",2020-01-01,"January-2020",18,15,3,0.166666666666667,0.833333333333333,2020-01-30,412540,4.36321326416832,"below 85%"
