Region,Code,Name,CC Adult Open_43801,CC Adult Occ_43801,Occupancy rate_43801,CC Adult Open_43802,CC Adult Occ_43802,Occupancy rate_43802,CC Adult Open_43803,CC Adult Occ_43803,Occupancy rate_43803,CC Adult Open_43804,CC Adult Occ_43804,Occupancy rate_43804,CC Adult Open_43805,CC Adult Occ_43805,Occupancy rate_43805,CC Adult Open_43806,CC Adult Occ_43806,Occupancy rate_43806,CC Adult Open_43807,CC Adult Occ_43807,Occupancy rate_43807,CC Adult Open_43808,CC Adult Occ_43808,Occupancy rate_43808,CC Adult Open_43809,CC Adult Occ_43809,Occupancy rate_43809,CC Adult Open_43810,CC Adult Occ_43810,Occupancy rate_43810,CC Adult Open_43811,CC Adult Occ_43811,Occupancy rate_43811,CC Adult Open_43812,CC Adult Occ_43812,Occupancy rate_43812,CC Adult Open_43813,CC Adult Occ_43813,Occupancy rate_43813,CC Adult Open_43814,CC Adult Occ_43814,Occupancy rate_43814,CC Adult Open_43815,CC Adult Occ_43815,Occupancy rate_43815,CC Adult Open_43816,CC Adult Occ_43816,Occupancy rate_43816,CC Adult Open_43817,CC Adult Occ_43817,Occupancy rate_43817,CC Adult Open_43818,CC Adult Occ_43818,Occupancy rate_43818,CC Adult Open_43819,CC Adult Occ_43819,Occupancy rate_43819,CC Adult Open_43820,CC Adult Occ_43820,Occupancy rate_43820,CC Adult Open_43821,CC Adult Occ_43821,Occupancy rate_43821,CC Adult Open_43822,CC Adult Occ_43822,Occupancy rate_43822,CC Adult Open_43823,CC Adult Occ_43823,Occupancy rate_43823,CC Adult Open_43824,CC Adult Occ_43824,Occupancy rate_43824,CC Adult Open_43825,CC Adult Occ_43825,Occupancy rate_43825,CC Adult Open_43826,CC Adult Occ_43826,Occupancy rate_43826,CC Adult Open_43827,CC Adult Occ_43827,Occupancy rate_43827,CC Adult Open_43828,CC Adult Occ_43828,Occupancy rate_43828,CC Adult Open_43829,CC Adult Occ_43829,Occupancy rate_43829,CC Adult Open_43830,CC Adult Occ_43830,Occupancy rate_43830,CC Adult Open_43831,CC Adult Occ_43831,Occupancy rate_43831,CC Adult Open_43832,CC Adult Occ_43832,Occupancy rate_43832,CC Adult Open_43833,CC Adult Occ_43833,Occupancy rate_43833,CC Adult Open_43834,CC Adult Occ_43834,Occupancy rate_43834,CC Adult Open_43835,CC Adult Occ_43835,Occupancy rate_43835,CC Adult Open_43836,CC Adult Occ_43836,Occupancy rate_43836,CC Adult Open_43837,CC Adult Occ_43837,Occupancy rate_43837,CC Adult Open_43838,CC Adult Occ_43838,Occupancy rate_43838,CC Adult Open_43839,CC Adult Occ_43839,Occupancy rate_43839,CC Adult Open_43840,CC Adult Occ_43840,Occupancy rate_43840,CC Adult Open_43841,CC Adult Occ_43841,Occupancy rate_43841,CC Adult Open_43842,CC Adult Occ_43842,Occupancy rate_43842,CC Adult Open_43843,CC Adult Occ_43843,Occupancy rate_43843,CC Adult Open_43844,CC Adult Occ_43844,Occupancy rate_43844,CC Adult Open_43845,CC Adult Occ_43845,Occupancy rate_43845,CC Adult Open_43846,CC Adult Occ_43846,Occupancy rate_43846,CC Adult Open_43847,CC Adult Occ_43847,Occupancy rate_43847,CC Adult Open_43848,CC Adult Occ_43848,Occupancy rate_43848,CC Adult Open_43849,CC Adult Occ_43849,Occupancy rate_43849,CC Adult Open_43850,CC Adult Occ_43850,Occupancy rate_43850,CC Adult Open_43851,CC Adult Occ_43851,Occupancy rate_43851,CC Adult Open_43852,CC Adult Occ_43852,Occupancy rate_43852,CC Adult Open_43853,CC Adult Occ_43853,Occupancy rate_43853,CC Adult Open_43854,CC Adult Occ_43854,Occupancy rate_43854,CC Adult Open_43855,CC Adult Occ_43855,Occupancy rate_43855,CC Adult Open_43856,CC Adult Occ_43856,Occupancy rate_43856,CC Adult Open_43857,CC Adult Occ_43857,Occupancy rate_43857,CC Adult Open_43858,CC Adult Occ_43858,Occupancy rate_43858,CC Adult Open_43859,CC Adult Occ_43859,Occupancy rate_43859,CC Adult Open_43860,CC Adult Occ_43860,Occupancy rate_43860,CC Adult Open_43861,CC Adult Occ_43861,Occupancy rate_43861,CC Adult Open_43862,CC Adult Occ_43862,Occupancy rate_43862,CC Adult Open_43863,CC Adult Occ_43863,Occupancy rate_43863,CC Adult Open_43864,CC Adult Occ_43864,Occupancy rate_43864,CC Adult Open_43865,CC Adult Occ_43865,Occupancy rate_43865,CC Adult Open_43866,CC Adult Occ_43866,Occupancy rate_43866,CC Adult Open_43867,CC Adult Occ_43867,Occupancy rate_43867,CC Adult Open_43868,CC Adult Occ_43868,Occupancy rate_43868,CC Adult Open_43869,CC Adult Occ_43869,Occupancy rate_43869,CC Adult Open_43870,CC Adult Occ_43870,Occupancy rate_43870,CC Adult Open_43871,CC Adult Occ_43871,Occupancy rate_43871,CC Adult Open_43872,CC Adult Occ_43872,Occupancy rate_43872,CC Adult Open_43873,CC Adult Occ_43873,Occupancy rate_43873,CC Adult Open_43874,CC Adult Occ_43874,Occupancy rate_43874,CC Adult Open_43875,CC Adult Occ_43875,Occupancy rate_43875,CC Adult Open_43876,CC Adult Occ_43876,Occupancy rate_43876,CC Adult Open_43877,CC Adult Occ_43877,Occupancy rate_43877,CC Adult Open_43878,CC Adult Occ_43878,Occupancy rate_43878,CC Adult Open_43879,CC Adult Occ_43879,Occupancy rate_43879,CC Adult Open_43880,CC Adult Occ_43880,Occupancy rate_43880,CC Adult Open_43881,CC Adult Occ_43881,Occupancy rate_43881,CC Adult Open_43882,CC Adult Occ_43882,Occupancy rate_43882,CC Adult Open_43883,CC Adult Occ_43883,Occupancy rate_43883,CC Adult Open_43884,CC Adult Occ_43884,Occupancy rate_43884,CC Adult Open_43885,CC Adult Occ_43885,Occupancy rate_43885,CC Adult Open_43886,CC Adult Occ_43886,Occupancy rate_43886,CC Adult Open_43887,CC Adult Occ_43887,Occupancy rate_43887,CC Adult Open_43888,CC Adult Occ_43888,Occupancy rate_43888,CC Adult Open_43889,CC Adult Occ_43889,Occupancy rate_43889,CC Adult Open_43890,CC Adult Occ_43890,Occupancy rate_43890,CC Adult Open_43891,CC Adult Occ_43891,Occupancy rate_43891
-,-,England,"3,730","3,152",84.50%,"3,672","3,087",84.10%,"3,678","3,122",84.90%,"3,682","3,087",83.80%,"3,654","3,005",82.20%,"3,628","2,937",81.00%,"3,635","2,945",81.00%,"3,678","3,072",83.50%,"3,686","3,134",85.00%,"3,693","3,161",85.60%,"3,692","3,100",84.00%,"3,678","3,133",85.20%,"3,638","2,966",81.50%,"3,648","2,978",81.60%,"3,694","3,125",84.60%,"3,712","3,203",86.30%,"3,694","3,188",86.30%,"3,674","3,179",86.50%,"3,651","3,042",83.30%,"3,624","2,957",81.60%,"3,631","2,909",80.10%,"3,660","2,955",80.70%,"3,638","2,839",78.00%,"3,657","2,780",76.00%,"3,670","2,838",77.30%,"3,660","2,907",79.40%,"3,629","2,899",79.90%,"3,644","2,874",78.90%,"3,688","2,991",81.10%,"3,667","3,025",82.50%,"3,668","2,964",80.80%,"3,686","3,075",83.40%,"3,696","3,076",83.20%,"3,647","2,983",81.80%,"3,615","3,024",83.70%,"3,698","3,163",85.50%,"3,695","3,178",86.00%,"3,697","3,171",85.80%,"3,697","3,192",86.30%,"3,684","3,074",83.40%,"3,653","3,002",82.20%,"3,652","2,996",82.00%,"3,682","3,080",83.70%,"3,690","3,137",85.00%,"3,704","3,131",84.50%,"3,705","3,146",84.90%,"3,679","3,066",83.30%,"3,646","2,945",80.80%,"3,644","2,920",80.10%,"3,684","2,997",81.40%,"3,683","3,031",82.30%,"3,689","3,056",82.80%,"3,680","3,104",84.30%,"3,675","3,034",82.60%,"3,630","2,937",80.90%,"3,639","2,875",79.00%,"3,675","3,017",82.10%,"3,673","3,050",83.00%,"3,682","3,118",84.70%,"3,654","3,044",83.30%,"3,675","3,027",82.40%,"3,642","2,919",80.10%,"3,629","2,900",79.90%,"3,688","3,062",83.00%,"3,693","3,066",83.00%,"3,686","3,089",83.80%,"3,691","3,011",81.60%,"3,649","2,990",81.90%,"3,631","2,878",79.30%,"3,641","2,800",76.90%,"3,688","3,020",81.90%,"3,681","3,049",82.80%,"3,689","3,054",82.80%,"3,700","3,052",82.50%,"3,679","3,027",82.30%,"3,637","2,917",80.20%,"3,635","2,864",78.80%,"3,677","3,003",81.70%,"3,684","2,996",81.30%,"3,680","3,011",81.80%,"3,691","3,018",81.80%,"3,673","3,000",81.70%,"3,630","2,897",79.80%,"3,643","2,886",79.20%,"3,691","3,000",81.30%,"3,675","3,070",83.50%,"3,669","3,090",84.20%,"3,670","3,039",82.80%,"3,684","2,986",81.10%,"3,641","2,909",79.90%,"3,636","2,888",79.40%
London Commissioning Region,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",52,39,75.00%,52,37,71.20%,52,37,71.20%,52,40,76.90%,52,43,82.70%,52,42,80.80%,52,46,88.50%,52,46,88.50%,52,41,78.80%,52,46,88.50%,52,41,78.80%,52,49,94.20%,52,46,88.50%,52,39,75.00%,52,41,78.80%,52,42,80.80%,52,47,90.40%,52,43,82.70%,52,37,71.20%,52,47,90.40%,52,39,75.00%,52,38,73.10%,52,38,73.10%,52,36,69.20%,52,45,86.50%,52,44,84.60%,52,44,84.60%,52,41,78.80%,52,36,69.20%,52,42,80.80%,52,48,92.30%,52,48,92.30%,52,48,92.30%,52,47,90.40%,52,48,92.30%,52,43,82.70%,52,48,92.30%,52,47,90.40%,52,46,88.50%,52,44,84.60%,52,40,76.90%,52,40,76.90%,52,46,88.50%,52,43,82.70%,52,47,90.40%,52,42,80.80%,52,43,82.70%,52,42,80.80%,52,42,80.80%,52,45,86.50%,52,42,80.80%,52,33,63.50%,52,36,69.20%,52,39,75.00%,52,39,75.00%,52,34,65.40%,52,33,63.50%,52,38,73.10%,52,46,88.50%,52,43,82.70%,52,41,78.80%,52,38,73.10%,52,41,78.80%,52,37,71.20%,52,37,71.20%,52,41,78.80%,52,41,78.80%,52,39,75.00%,52,44,84.60%,52,40,76.90%,52,44,84.60%,52,49,94.20%,52,42,80.80%,52,42,80.80%,52,43,82.70%,52,42,80.80%,52,38,73.10%,52,44,84.60%,52,47,90.40%,52,48,92.30%,52,48,92.30%,52,44,84.60%,52,47,90.40%,52,45,86.50%,52,51,98.10%,52,41,78.80%,52,40,76.90%,52,45,86.50%,52,43,82.70%,52,43,82.70%,52,37,71.20%
London Commissioning Region,R1H,Barts Health NHS Trust,122,107,87.70%,122,110,90.20%,122,113,92.60%,122,109,89.30%,122,107,87.70%,122,108,88.50%,122,102,83.60%,122,107,87.70%,122,111,91.00%,122,113,92.60%,122,112,91.80%,122,111,91.00%,122,111,91.00%,122,113,92.60%,122,112,91.80%,122,116,95.10%,122,117,95.90%,122,113,92.60%,122,115,94.30%,122,112,91.80%,122,113,92.60%,122,104,85.20%,122,95,77.90%,122,93,76.20%,122,90,73.80%,122,89,73.00%,122,93,76.20%,122,91,74.60%,122,95,77.90%,122,103,84.40%,122,94,77.00%,122,88,72.10%,122,97,79.50%,122,96,78.70%,122,92,75.40%,122,94,77.00%,122,101,82.80%,122,104,85.20%,122,97,79.50%,122,105,86.10%,122,109,89.30%,122,102,83.60%,124,101,81.50%,122,103,84.40%,122,110,90.20%,122,113,92.60%,122,108,88.50%,122,108,88.50%,122,110,90.20%,124,101,81.50%,122,103,84.40%,122,115,94.30%,123,115,93.50%,122,115,94.30%,122,116,95.10%,122,109,89.30%,122,101,82.80%,122,94,77.00%,122,104,85.20%,122,103,84.40%,122,103,84.40%,123,96,78.00%,122,100,82.00%,122,90,73.80%,122,85,69.70%,122,96,78.70%,122,96,78.70%,122,99,81.10%,122,90,73.80%,122,88,72.10%,122,93,76.20%,122,102,83.60%,122,104,85.20%,122,107,87.70%,122,108,88.50%,122,106,86.90%,122,97,79.50%,122,90,73.80%,122,85,69.70%,122,96,78.70%,122,96,78.70%,122,99,81.10%,122,90,73.80%,122,88,72.10%,122,104,85.20%,122,113,92.60%,122,111,91.00%,122,114,93.40%,122,103,84.40%,122,107,87.70%,122,104,85.20%
London Commissioning Region,RQM,Chelsea and Westminster Hospital NHS Foundation Trust,21,20,95.20%,20,20,100.00%,20,18,90.00%,20,19,95.00%,10,10,100.00%,20,17,85.00%,20,17,85.00%,20,16,80.00%,20,17,85.00%,20,17,85.00%,20,17,85.00%,20,10,50.00%,20,16,80.00%,20,17,85.00%,20,18,90.00%,20,18,90.00%,20,19,95.00%,20,19,95.00%,20,16,80.00%,20,17,85.00%,20,16,80.00%,20,15,75.00%,20,15,75.00%,20,16,80.00%,20,17,85.00%,20,16,80.00%,20,15,75.00%,20,14,70.00%,20,15,75.00%,20,16,80.00%,20,16,80.00%,20,15,75.00%,28,18,64.30%,20,19,95.00%,20,19,95.00%,20,19,95.00%,20,19,95.00%,20,19,95.00%,20,19,95.00%,20,20,100.00%,20,20,100.00%,20,20,100.00%,20,18,90.00%,20,20,100.00%,20,20,100.00%,20,19,95.00%,20,19,95.00%,20,19,95.00%,20,19,95.00%,20,20,100.00%,20,19,95.00%,20,19,95.00%,20,19,95.00%,20,18,90.00%,20,19,95.00%,20,19,95.00%,20,19,95.00%,20,19,95.00%,20,19,95.00%,20,19,95.00%,20,19,95.00%,22,21,95.50%,22,21,95.50%,22,21,95.50%,22,21,95.50%,22,21,95.50%,22,21,95.50%,22,18,81.80%,22,18,81.80%,22,21,95.50%,22,21,95.50%,22,21,95.50%,22,21,95.50%,22,21,95.50%,22,21,95.50%,22,18,81.80%,22,18,81.80%,22,18,81.80%,22,18,81.80%,22,18,81.80%,22,18,81.80%,22,18,81.80%,22,16,72.70%,22,16,72.70%,22,16,72.70%,0,0,-,0,0,-,0,0,-,22,16,72.70%,22,16,72.70%,22,16,72.70%
London Commissioning Region,RJ6,Croydon Health Services NHS Trust,14,14,100.00%,14,14,100.00%,14,13,92.90%,14,14,100.00%,14,14,100.00%,14,14,100.00%,14,14,100.00%,14,13,92.90%,14,11,78.60%,14,13,92.90%,15,15,100.00%,14,12,85.70%,14,12,85.70%,14,13,92.90%,14,13,92.90%,14,12,85.70%,14,13,92.90%,14,14,100.00%,14,14,100.00%,14,14,100.00%,14,14,100.00%,14,12,85.70%,14,13,92.90%,14,12,85.70%,14,14,100.00%,14,11,78.60%,14,11,78.60%,14,11,78.60%,14,13,92.90%,14,14,100.00%,14,13,92.90%,14,11,78.60%,14,13,92.90%,14,13,92.90%,14,13,92.90%,14,12,85.70%,15,15,100.00%,15,13,86.70%,15,14,93.30%,14,14,100.00%,14,13,92.90%,14,14,100.00%,14,11,78.60%,14,12,85.70%,14,8,57.10%,14,12,85.70%,14,13,92.90%,14,11,78.60%,14,11,78.60%,14,12,85.70%,14,12,85.70%,14,12,85.70%,14,11,78.60%,14,10,71.40%,14,12,85.70%,14,11,78.60%,14,13,92.90%,14,14,100.00%,14,14,100.00%,14,10,71.40%,14,10,71.40%,14,10,71.40%,14,11,78.60%,14,10,71.40%,14,12,85.70%,14,11,78.60%,14,13,92.90%,15,15,100.00%,14,13,92.90%,14,14,100.00%,14,13,92.90%,14,14,100.00%,14,11,78.60%,14,11,78.60%,14,13,92.90%,14,13,92.90%,14,12,85.70%,14,14,100.00%,14,13,92.90%,14,13,92.90%,14,14,100.00%,14,14,100.00%,15,15,100.00%,14,13,92.90%,14,14,100.00%,15,15,100.00%,14,13,92.90%,14,13,92.90%,14,14,100.00%,14,14,100.00%,14,14,100.00%
London Commissioning Region,RVR,Epsom and St Helier University Hospitals NHS Trust,21,19,90.50%,21,15,71.40%,21,18,85.70%,21,18,85.70%,21,16,76.20%,21,16,76.20%,21,16,76.20%,21,17,81.00%,21,16,76.20%,21,19,90.50%,21,18,85.70%,21,18,85.70%,21,15,71.40%,21,14,66.70%,21,15,71.40%,21,17,81.00%,21,16,76.20%,21,14,66.70%,21,15,71.40%,21,14,66.70%,21,17,81.00%,21,17,81.00%,21,15,71.40%,21,13,61.90%,21,14,66.70%,21,14,66.70%,21,14,66.70%,21,12,57.10%,21,14,66.70%,21,16,76.20%,21,15,71.40%,21,15,71.40%,21,17,81.00%,21,16,76.20%,21,18,85.70%,21,19,90.50%,21,16,76.20%,21,15,71.40%,21,16,76.20%,21,15,71.40%,21,16,76.20%,21,17,81.00%,21,20,95.20%,21,17,81.00%,21,15,71.40%,21,17,81.00%,21,17,81.00%,21,17,81.00%,21,17,81.00%,21,19,90.50%,21,16,76.20%,21,17,81.00%,21,17,81.00%,21,18,85.70%,21,17,81.00%,21,17,81.00%,21,19,90.50%,21,17,81.00%,21,17,81.00%,21,16,76.20%,21,18,85.70%,21,18,85.70%,21,18,85.70%,21,19,90.50%,21,14,66.70%,21,17,81.00%,21,15,71.40%,21,16,76.20%,21,18,85.70%,21,18,85.70%,21,19,90.50%,21,17,81.00%,21,19,90.50%,21,17,81.00%,21,17,81.00%,21,16,76.20%,21,18,85.70%,21,18,85.70%,21,18,85.70%,21,16,76.20%,21,17,81.00%,21,13,61.90%,21,13,61.90%,21,17,81.00%,21,18,85.70%,21,18,85.70%,21,14,66.70%,21,14,66.70%,21,15,71.40%,21,16,76.20%,21,14,66.70%
London Commissioning Region,RJ1,Guy's and St Thomas' NHS Foundation Trust,85,71,83.50%,85,74,87.10%,85,75,88.20%,85,71,83.50%,85,80,94.10%,85,77,90.60%,85,71,83.50%,85,77,90.60%,85,75,88.20%,85,77,90.60%,85,77,90.60%,85,81,95.30%,85,82,96.50%,85,76,89.40%,85,71,83.50%,85,71,83.50%,85,72,84.70%,85,82,96.50%,85,73,85.90%,85,73,85.90%,85,74,87.10%,85,76,89.40%,85,69,81.20%,85,67,78.80%,85,66,77.60%,85,71,83.50%,85,70,82.40%,85,70,82.40%,85,69,81.20%,85,85,100.00%,85,60,70.60%,85,67,78.80%,85,66,77.60%,85,65,76.50%,85,72,84.70%,85,75,88.20%,85,76,89.40%,85,72,84.70%,85,73,85.90%,85,69,81.20%,85,74,87.10%,85,74,87.10%,85,70,82.40%,85,68,80.00%,85,68,80.00%,85,72,84.70%,85,80,94.10%,85,81,95.30%,85,72,84.70%,85,64,75.30%,85,76,89.40%,85,76,89.40%,85,75,88.20%,85,78,91.80%,85,81,95.30%,85,67,78.80%,85,74,87.10%,85,78,91.80%,85,76,89.40%,85,66,77.60%,85,76,89.40%,85,79,92.90%,85,69,81.20%,85,72,84.70%,85,70,82.40%,85,74,87.10%,85,74,87.10%,85,81,95.30%,85,78,91.80%,85,68,80.00%,85,69,81.20%,85,78,91.80%,85,76,89.40%,85,76,89.40%,85,76,89.40%,85,75,88.20%,85,75,88.20%,85,73,85.90%,85,75,88.20%,85,73,85.90%,85,74,87.10%,85,78,91.80%,85,79,92.90%,85,75,88.20%,85,75,88.20%,85,77,90.60%,85,76,89.40%,85,75,88.20%,85,81,95.30%,85,81,95.30%,85,80,94.10%
London Commissioning Region,RQX,Homerton University Hospital NHS Foundation Trust,10,10,100.00%,8,8,100.00%,8,8,100.00%,8,8,100.00%,8,8,100.00%,8,7,87.50%,8,7,87.50%,8,8,100.00%,9,9,100.00%,12,12,100.00%,12,12,100.00%,10,10,100.00%,10,10,100.00%,9,9,100.00%,12,12,100.00%,12,12,100.00%,13,13,100.00%,11,11,100.00%,12,12,100.00%,8,7,87.50%,9,9,100.00%,9,9,100.00%,8,8,100.00%,9,9,100.00%,9,9,100.00%,8,7,87.50%,10,10,100.00%,9,9,100.00%,10,10,100.00%,10,10,100.00%,10,10,100.00%,9,9,100.00%,12,12,100.00%,10,10,100.00%,11,11,100.00%,12,12,100.00%,13,13,100.00%,13,13,100.00%,15,15,100.00%,13,13,100.00%,16,16,100.00%,14,14,100.00%,13,13,100.00%,12,12,100.00%,14,14,100.00%,13,13,100.00%,12,12,100.00%,9,9,100.00%,9,9,100.00%,9,9,100.00%,9,9,100.00%,8,8,100.00%,10,10,100.00%,10,10,100.00%,11,11,100.00%,9,9,100.00%,9,9,100.00%,9,9,100.00%,8,8,100.00%,11,11,100.00%,12,12,100.00%,12,12,100.00%,14,14,100.00%,12,12,100.00%,9,9,100.00%,8,8,100.00%,11,11,100.00%,9,9,100.00%,10,10,100.00%,10,10,100.00%,10,10,100.00%,13,13,100.00%,13,13,100.00%,14,14,100.00%,15,15,100.00%,23,23,100.00%,10,10,100.00%,10,10,100.00%,11,11,100.00%,11,11,100.00%,11,11,100.00%,12,12,100.00%,10,10,100.00%,9,9,100.00%,9,9,100.00%,11,11,100.00%,10,10,100.00%,11,11,100.00%,11,11,100.00%,9,9,100.00%,9,9,100.00%
London Commissioning Region,RYJ,Imperial College Healthcare NHS Trust,72,68,94.40%,72,72,100.00%,72,71,98.60%,72,71,98.60%,72,71,98.60%,72,68,94.40%,72,68,94.40%,72,69,95.80%,72,70,97.20%,72,72,100.00%,72,69,95.80%,72,70,97.20%,72,70,97.20%,72,70,97.20%,72,70,97.20%,72,71,98.60%,72,71,98.60%,72,69,95.80%,72,71,98.60%,72,71,98.60%,72,71,98.60%,72,68,94.40%,72,68,94.40%,72,59,81.90%,72,58,80.60%,72,66,91.70%,72,67,93.10%,72,68,94.40%,72,66,91.70%,72,58,80.60%,72,59,81.90%,72,61,84.70%,72,68,94.40%,72,67,93.10%,72,70,97.20%,72,70,97.20%,72,71,98.60%,72,70,97.20%,72,69,95.80%,72,69,95.80%,72,69,95.80%,72,70,97.20%,72,69,95.80%,72,69,95.80%,72,70,97.20%,72,69,95.80%,72,69,95.80%,72,69,95.80%,72,71,98.60%,72,68,94.40%,72,69,95.80%,72,72,100.00%,72,69,95.80%,72,71,98.60%,72,69,95.80%,72,68,94.40%,72,72,100.00%,72,69,95.80%,72,71,98.60%,72,71,98.60%,72,71,98.60%,72,70,97.20%,72,68,94.40%,72,68,94.40%,72,68,94.40%,72,70,97.20%,72,70,97.20%,72,69,95.80%,72,65,90.30%,72,65,90.30%,72,71,98.60%,72,71,98.60%,72,71,98.60%,72,72,100.00%,72,72,100.00%,72,72,100.00%,72,70,97.20%,72,69,95.80%,72,68,94.40%,72,68,94.40%,72,70,97.20%,72,70,97.20%,72,70,97.20%,72,68,94.40%,72,69,95.80%,72,70,97.20%,72,72,100.00%,72,69,95.80%,72,70,97.20%,72,68,94.40%,72,67,93.10%
London Commissioning Region,RJZ,King's College Hospital NHS Foundation Trust,96,95,99.00%,96,95,99.00%,96,92,95.80%,96,92,95.80%,97,91,93.80%,98,93,94.90%,96,91,94.80%,96,94,97.90%,96,94,97.90%,96,92,95.80%,96,91,94.80%,96,92,95.80%,97,91,93.80%,97,94,96.90%,97,96,99.00%,96,89,92.70%,96,88,91.70%,96,93,96.90%,96,94,97.90%,98,96,98.00%,96,93,96.90%,96,96,100.00%,96,96,100.00%,96,96,100.00%,98,94,95.90%,96,94,97.90%,96,92,95.80%,96,92,95.80%,96,90,93.80%,97,95,97.90%,96,86,89.60%,96,89,92.70%,96,82,85.40%,96,86,89.60%,96,92,95.80%,96,89,92.70%,96,90,93.80%,96,90,93.80%,96,90,93.80%,96,87,90.60%,96,89,92.70%,96,92,95.80%,96,92,95.80%,96,92,95.80%,96,93,96.90%,96,93,96.90%,96,91,94.80%,96,90,93.80%,97,94,96.90%,97,91,93.80%,96,87,90.60%,96,92,95.80%,96,93,96.90%,97,92,94.80%,96,94,97.90%,96,94,97.90%,96,93,96.90%,96,93,96.90%,96,92,95.80%,96,90,93.80%,98,91,92.90%,96,89,92.70%,98,96,98.00%,97,95,97.90%,97,93,95.90%,96,92,95.80%,96,88,91.70%,96,90,93.80%,96,90,93.80%,96,91,94.80%,96,94,97.90%,96,93,96.90%,96,93,96.90%,96,87,90.60%,96,96,100.00%,96,94,97.90%,96,93,96.90%,96,94,97.90%,96,91,94.80%,96,92,95.80%,96,86,89.60%,96,90,93.80%,96,91,94.80%,96,91,94.80%,97,93,95.90%,97,96,99.00%,98,98,100.00%,96,91,94.80%,96,91,94.80%,96,94,97.90%,96,92,95.80%
